State of the Academy 2018

Q1. What class are you in?
Answer Choices,Response Percent,Responses
2018,27.56%,293
2019,27.19%,289
2020,26.25%,279
2021,19.0%,202
,Answered,1063
,Skipped,0


"Q2. How long have you attended Andover? (e.g. if you are currently a two-year lower, answer ""2 years"")"
Answer Choices,Response Percent,Responses
5 years,0.19%,2
4 years,19.1%,203
3 years,25.02%,266
2 years,26.81%,285
1 year,28.88%,307
,Answered,1063
,Skipped,0


Q3. Are you a boarding or a day student?
Answer Choices,Response Percent,Responses
Boarding student,73.38%,780
Day student,26.62%,283
,Answered,1063
,Skipped,0


Q4. Where are you from?
Answer Choices,Response Percent,Responses
United States - Northeast,61.9%,658
United States - Midwest,3.86%,41
United States - West,7.43%,79
United States - Southwest,3.39%,36
United States - Southeast,6.96%,74
United States - Discontiguous,0.47%,5
Outside of the United States,15.99%,170
,Answered,1063
,Skipped,0


"Q5. For students from the United States, what is your immigration status?"
Answer Choices,Response Percent,Responses
I am the child of an immigrant,33.49%,356
I am a documented immigrant,6.11%,65
I am an undocumented immigrant,0.38%,4
Not applicable,60.02%,638
,Answered,1063
,Skipped,0


"Q6. If you attend college, will you be a first generation college student?"
Answer Choices,Response Percent,Responses
Yes,7.24%,77
No,92.76%,986
,Answered,1063
,Skipped,0


Q7. What is your sex?
Answer Choices,Response Percent,Responses
Male,46.94%,499
Female,52.87%,562
Intersex,0.19%,2
,Answered,1063
,Skipped,0


Q8. What are your preferred gender pronouns (PGPs)?
Answer Choices,Response Percent,Responses
He/him/his,45.72%,486
She/her/hers,52.59%,559
They/them/their(s),0.28%,3
Ze/hir/hirs,0.19%,2
Other (please specify),1.22%,13
,Answered,1063
,Skipped,0


Q9. What is your gender?
Answer Choices,Response Percent,Responses
Agender,0.47%,5
Genderfluid,0.38%,4
Genderqueer,0.47%,5
Man,45.16%,480
Woman,52.02%,553
Other (please specify),1.51%,16
,Answered,1063
,Skipped,0


"Q10. What is your sexual orientation — ""a person's sexual identity in relation to the gender to which they are attracted"" (Oxford Dictionaries)?"
Answer Choices,Response Percent,Responses
Asexual — without sexual attraction,1.41%,15
Bisexual — sexually attracted to both men and women,10.35%,110
Demisexual — sexually attracted only after developing an emotional connection,1.22%,13
Heterosexual — sexually attracted to the opposite sex or gender,79.49%,845
Homosexual — sexually attracted to the same sex or gender,2.07%,22
"Pansexual — sexually attracted to others, regardless of sex or gender",2.16%,23
Other or Unsure,3.29%,35
,Answered,1063
,Skipped,0


"Q11. What is your romantic orientation — ""an individual's pattern of romantic attraction based on a person's gender"" (AVENwiki)?"
Answer Choices,Response Percent,Responses
Aromantic — without romantic attraction,0.66%,7
Biromantic — romantically attracted to both men and women,7.71%,82
Demiromantic — romantically attracted only after developing an emotional connection,2.16%,23
Heteroromantic — romantically attracted to the opposite sex or gender,81.0%,861
Homoromantic — romantically attracted to the same sex or gender,2.54%,27
"Panromantic — romantically attracted to others, regardless of sex or gender",2.45%,26
Other or Unsure,3.48%,37
,Answered,1063
,Skipped,0


"Q12. What is your race? If applicable, select more than one."
Answer Choices,Response Percent,Responses
Asian,34.52%,367
Black,10.82%,115
Native Hawaiian or Pacific Islander,1.22%,13
Original Peoples of the Americas,3.86%,41
White,61.9%,658
,Answered,1063
,Skipped,0


"Q13. What is your ethnicity? If applicable, select more than one."
Answer Choices,Response Percent,Responses
African,3.29%,35
African American,6.77%,72
Asian American,19.0%,202
Caucasian,52.96%,563
East Asian,12.79%,136
Ethnically Jewish,6.49%,69
Hispanic,7.06%,75
Latinx,6.4%,68
Middle Eastern,3.76%,40
Native American,1.79%,19
Pacific Islander,0.94%,10
South Asian,4.33%,46
Southeast Asian,5.83%,62
West Indian/Caribbean,3.57%,38
White Hispanic,4.52%,48
,Answered,1063
,Skipped,0


"Q14. With which religion or faith system were you raised on, if any? If applicable, select more than one."
Answer Choices,Response Percent,Responses
Agnosticism,9.69%,103
Atheism,11.1%,118
Buddhism,4.23%,45
Catholicism,34.24%,364
Hinduism,3.67%,39
Islam,2.73%,29
Judiasm,6.96%,74
Mormonism,0.56%,6
Protestantism,20.51%,218
None,16.46%,175
Other (please specify),7.24%,77
,Answered,1063
,Skipped,0


"Q15. With which religion or faith system do you identify with now, if any? If applicable, select more than one."
Answer Choices,Response Percent,Responses
Agnosticism,22.11%,235
Atheism,17.5%,186
Buddhism,3.2%,34
Catholicism,23.42%,249
Hinduism,2.73%,29
Islam,2.54%,27
Judaism,5.64%,60
Mormonism,0.28%,3
Protestanism,14.3%,152
None,17.22%,183
Other (please specify),5.55%,59
,Answered,1063
,Skipped,0


Q16. What is your annual net family income?
Answer Choices,Response Percent,Responses
"$500,000 or more",24.74%,263
"$250,000 or $499,999",16.75%,178
"$150,000 to $249,999",12.04%,128
"$100,000 to $149,999",9.97%,106
"$60,000 to $99,999",6.87%,73
"$35,000 to $59,999",3.95%,42
"$34,999 or less",3.95%,42
Unsure,21.73%,231
,Answered,1063
,Skipped,0


Q17. What is your socioeconomic status?
Answer Choices,Response Percent,Responses
Upper class,29.26%,311
Upper-middle class,41.2%,438
Middle class,19.38%,206
Lower-middle class,6.87%,73
Lower class,3.29%,35
,Answered,1063
,Skipped,0


Q18. Are you on any form of financial aid?
Answer Choices,Response Percent,Responses
Yes,46.47%,494
No,53.53%,569
,Answered,1063
,Skipped,0


Q19. Are you a varsity athlete?
Answer Choices,Response Percent,Responses
Yes,45.53%,484
No,54.47%,579
,Answered,1063
,Skipped,0


Q20. What is your political affiliation?
Answer Choices,Response Percent,Responses
Conservative,16.27%,172
Independent,13.15%,139
Liberal,44.18%,467
Libertarian,3.22%,34
Other or Unsure,23.18%,245
,Answered,1057
,Skipped,6


Q21. Do you support affirmative action in the context of education -- “the practice or policy of favoring individuals belonging to groups known to have been discriminated against previously” (Oxford Dictionaries)?
Answer Choices,Response Percent,Responses
Yes,59.6%,630
No,40.4%,427
,Answered,1057
,Skipped,6


